Category,Exercise,Variation
Squat,Goblet Squat,"Neutral, Narrow, Machine"
Press,Incline Bench Press,"Pronated, Smith Machine, Chains"
Press,Dip,"Supinated, Machine, Bands"
Pull,Pull-Up,"False, Staggered, Barbell"
Isolation,Bicep Curl,"False, Narrow, Machine"
Squat,Safety Bar Squat,"Neutral, Shoulder Width, Dumbbell"
Squat,Front Squat,"Supinated, Smith Machine, Elevated Heels"
Squat,Hack Squat,"Neutral, Wide, Cable"
Hinge,Romanian Deadlift,"Neutral, Barbell, Feet Elevated"
Hinge,Deadlift,"Supinated, Wide, Bodyweight"
Squat,Safety Bar Squat,"False, Wide, Cable"
Pull,Lat Pulldown,"Neutral, Wide, Bodyweight"
Press,Dumbbell Bench Press,"Neutral, Dumbbell, Bands"
Press,Barbell Bench Press,"Supinated, Split, Barbell"
Hinge,Back Extension,"Supinated, Machine, Feet Elevated"
Pull,Cable Row,"Pronated, Staggered, Bodyweight"
Press,Dip,"Supinated, Bodyweight, Feet Elevated"
Isolation,Bicep Curl,"Neutral, Bodyweight, Bands"
Isolation,Lateral Raise,"Pronated, Bodyweight, Single Arm"
Press,Incline Bench Press,"Mixed, Shoulder Width, Bodyweight"
Squat,Front Squat,"Neutral, Staggered, Bodyweight"
Squat,Zercher Squat,"False, Narrow, Machine"
Press,Overhead Press,"Pronated, Dumbbell, Feet Elevated"
Press,Dip,"Pronated, Staggered, Cable"
Isolation,Calf Raise,"Neutral, Narrow, Dumbbell"
Isolation,Tricep Pushdown,"Pronated, Split, Dumbbell"
Squat,Zercher Squat,"Neutral, Bodyweight, Bands"
Isolation,Tricep Pushdown,"Pronated, Smith Machine, Deficit"
Squat,Back Squat,"Pronated, Narrow, Dumbbell"
Hinge,Hip Thrust,"Neutral, Staggered, Machine"
Isolation,Lateral Raise,"Pronated, Narrow, Barbell"
Press,Machine Chest Press,"Mixed, Staggered, Dumbbell"
Pull,Pull-Up,"Supinated, Machine, Chains"
Isolation,Calf Raise,"Supinated, Smith Machine, Single Arm"
Press,Machine Chest Press,"Pronated, Dumbbell, Deficit"
Pull,Barbell Row,"Pronated, Cable, Feet Elevated"
Press,Overhead Press,"Supinated, Narrow, Cable"
Squat,Safety Bar Squat,"Pronated, Dumbbell, Chains"
Pull,Lat Pulldown,"Pronated, Smith Machine, Feet Elevated"
Squat,Safety Bar Squat,"Pronated, Machine, Single Arm"
Isolation,Lateral Raise,"Mixed, Split, Cable"
Pull,Chest Supported Row,"Mixed, Staggered, Cable"
Pull,Cable Row,"Pronated, Shoulder Width, Cable"
Isolation,Leg Curl,"Mixed, Narrow, Machine"
Pull,Barbell Row,"Supinated, Split, Cable"
Squat,Safety Bar Squat,"Pronated, Shoulder Width, Dumbbell"
Pull,Pull-Up,"Neutral, Staggered, Cable"
Squat,Goblet Squat,"Pronated, Split, Barbell"
Press,Smith Machine Press,"Pronated, Smith Machine, Bands"
Pull,Cable Row,"Pronated, Dumbbell, Bands"
Hinge,Good Morning,"Neutral, Wide, Bodyweight"
Hinge,Deadlift,"Neutral, Cable, Deficit"
Squat,Belt Squat,"Pronated, Smith Machine, Elevated Heels"
Isolation,Lateral Raise,"Pronated, Wide, Bodyweight"
Pull,Pull-Up,"Neutral, Bodyweight, Deficit"
Press,Incline Bench Press,"False, Staggered, Bodyweight"
Press,Decline Bench Press,"Neutral, Shoulder Width, Barbell"
Press,Incline Bench Press,"Supinated, Bodyweight, Elevated Heels"
Pull,T-Bar Row,"Supinated, Staggered, Smith Machine"
Hinge,Hip Thrust,"Neutral, Shoulder Width, Dumbbell"
Pull,Cable Row,"False, Wide, Barbell"
Pull,Cable Row,"Pronated, Shoulder Width, Barbell"
Press,Decline Bench Press,"False, Shoulder Width, Bodyweight"
Isolation,Tricep Pushdown,"Pronated, Barbell, Bands"
Isolation,Calf Raise,"Neutral, Bodyweight, Feet Elevated"
Squat,Back Squat,"Pronated, Machine, Elevated Heels"
Pull,Cable Row,"Neutral, Barbell, Elevated Heels"
Hinge,Hip Thrust,"False, Wide, Cable"
Isolation,Leg Extension,"False, Staggered, Smith Machine"
Isolation,Leg Curl,"False, Narrow, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Neutral, Barbell, Feet Elevated"
Hinge,Good Morning,"Pronated, Smith Machine, Feet Elevated"
Press,Decline Bench Press,"False, Shoulder Width, Dumbbell"
Pull,Chest Supported Row,"Pronated, Bodyweight, Elevated Heels"
Hinge,Back Extension,"Pronated, Wide, Dumbbell"
Isolation,Tricep Pushdown,"Supinated, Narrow, Smith Machine"
Squat,Front Squat,"Supinated, Dumbbell, Deficit"
Pull,Pull-Up,"Pronated, Barbell, Deficit"
Pull,Barbell Row,"False, Staggered, Machine"
Pull,Lat Pulldown,"Supinated, Narrow, Barbell"
Pull,Pull-Up,"False, Narrow, Cable"
Pull,Cable Row,"Supinated, Barbell, Single Arm"
Isolation,Bicep Curl,"False, Wide, Dumbbell"
Hinge,Good Morning,"False, Split, Machine"
Squat,Back Squat,"Pronated, Barbell, Chains"
Pull,Chin-Up,"Supinated, Narrow, Smith Machine"
Pull,Pull-Up,"Neutral, Machine, Feet Elevated"
Squat,Back Squat,"Pronated, Dumbbell, Feet Elevated"
Isolation,Tricep Pushdown,"Supinated, Wide, Dumbbell"
Pull,Cable Row,"Neutral, Wide, Machine"
Press,Incline Bench Press,"Mixed, Split, Machine"
Squat,Hack Squat,"Pronated, Wide, Barbell"
Isolation,Rear Delt Fly,"Pronated, Cable, Chains"
Pull,Pull-Up,"Neutral, Staggered, Smith Machine"
Pull,Cable Row,"Neutral, Machine, Bands"
Hinge,Good Morning,"False, Shoulder Width, Smith Machine"
Squat,Back Squat,"Supinated, Narrow, Cable"
Press,Machine Chest Press,"Mixed, Shoulder Width, Barbell"
Squat,Belt Squat,"Mixed, Staggered, Cable"
Press,Barbell Bench Press,"Pronated, Dumbbell, Single Arm"
Squat,Belt Squat,"Pronated, Narrow, Dumbbell"
Press,Dumbbell Bench Press,"Supinated, Smith Machine, Chains"
Squat,Front Squat,"Pronated, Staggered, Barbell"
Isolation,Tricep Pushdown,"False, Shoulder Width, Cable"
Isolation,Leg Extension,"Neutral, Wide, Cable"
Pull,T-Bar Row,"Mixed, Staggered, Cable"
Hinge,Romanian Deadlift,"Neutral, Bodyweight, Chains"
Isolation,Rear Delt Fly,"Supinated, Staggered, Cable"
Pull,Barbell Row,"Neutral, Machine, Deficit"
Hinge,Back Extension,"Neutral, Split, Smith Machine"
Isolation,Leg Curl,"Supinated, Narrow, Dumbbell"
Pull,Barbell Row,"Neutral, Bodyweight, Single Arm"
Press,Machine Chest Press,"Pronated, Machine, Bands"
Isolation,Leg Extension,"Neutral, Barbell, Single Arm"
Squat,Safety Bar Squat,"Mixed, Split, Barbell"
Hinge,Hip Thrust,"Neutral, Cable, Single Arm"
Press,Barbell Bench Press,"Neutral, Split, Cable"
Isolation,Bicep Curl,"Neutral, Dumbbell, Chains"
Press,Incline Bench Press,"Pronated, Shoulder Width, Machine"
Pull,Chin-Up,"False, Shoulder Width, Cable"
Hinge,Romanian Deadlift,"Pronated, Wide, Machine"
Isolation,Tricep Pushdown,"Mixed, Wide, Smith Machine"
Press,Incline Bench Press,"Supinated, Dumbbell, Single Arm"
Pull,Cable Row,"Pronated, Bodyweight, Chains"
Isolation,Leg Extension,"False, Staggered, Barbell"
Press,Dumbbell Bench Press,"Neutral, Staggered, Dumbbell"
Press,Dip,"Neutral, Shoulder Width, Barbell"
Squat,Back Squat,"Neutral, Split, Barbell"
Isolation,Rear Delt Fly,"Supinated, Barbell, Chains"
Hinge,Stiff-Leg Deadlift,"Mixed, Staggered, Machine"
Squat,Safety Bar Squat,"Supinated, Bodyweight, Feet Elevated"
Press,Machine Chest Press,"Neutral, Wide, Smith Machine"
Hinge,Romanian Deadlift,"False, Staggered, Dumbbell"
Squat,Zercher Squat,"Neutral, Dumbbell, Chains"
Isolation,Leg Curl,"Supinated, Machine, Feet Elevated"
Press,Smith Machine Press,"Neutral, Wide, Dumbbell"
Pull,Cable Row,"Pronated, Barbell, Elevated Heels"
Pull,Cable Row,"Neutral, Smith Machine, Deficit"
Pull,Lat Pulldown,"Supinated, Staggered, Smith Machine"
Isolation,Bicep Curl,"Pronated, Smith Machine, Chains"
Pull,Cable Row,"Supinated, Shoulder Width, Cable"
Squat,Belt Squat,"Pronated, Bodyweight, Elevated Heels"
Press,Decline Bench Press,"False, Staggered, Bodyweight"
Squat,Safety Bar Squat,"Pronated, Staggered, Bodyweight"
Press,Dip,"False, Shoulder Width, Bodyweight"
Press,Dumbbell Bench Press,"Mixed, Narrow, Smith Machine"
Pull,T-Bar Row,"Pronated, Bodyweight, Elevated Heels"
Hinge,Romanian Deadlift,"Supinated, Staggered, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Machine, Elevated Heels"
Press,Dip,"False, Shoulder Width, Dumbbell"
Pull,Pull-Up,"Neutral, Staggered, Machine"
Squat,Front Squat,"Supinated, Cable, Chains"
Isolation,Lateral Raise,"Pronated, Cable, Chains"
Press,Decline Bench Press,"Neutral, Staggered, Bodyweight"
Isolation,Leg Extension,"Supinated, Machine, Chains"
Squat,Hack Squat,"Pronated, Bodyweight, Bands"
Pull,Cable Row,"Supinated, Shoulder Width, Smith Machine"
Pull,Barbell Row,"False, Narrow, Smith Machine"
Isolation,Rear Delt Fly,"Pronated, Machine, Feet Elevated"
Press,Overhead Press,"Neutral, Bodyweight, Bands"
Hinge,Romanian Deadlift,"Mixed, Narrow, Bodyweight"
Isolation,Rear Delt Fly,"False, Wide, Machine"
Isolation,Lateral Raise,"Supinated, Staggered, Cable"
Pull,Cable Row,"Neutral, Barbell, Chains"
Press,Dip,"Pronated, Smith Machine, Chains"
Squat,Hack Squat,"Mixed, Shoulder Width, Dumbbell"
Isolation,Bicep Curl,"Supinated, Machine, Single Arm"
Press,Incline Bench Press,"Pronated, Narrow, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Smith Machine, Bands"
Isolation,Leg Extension,"Neutral, Staggered, Cable"
Squat,Belt Squat,"Pronated, Dumbbell, Feet Elevated"
Squat,Front Squat,"Pronated, Cable, Bands"
Pull,Chin-Up,"Neutral, Dumbbell, Bands"
Press,Machine Chest Press,"Neutral, Narrow, Machine"
Isolation,Leg Extension,"Neutral, Bodyweight, Deficit"
Press,Dumbbell Bench Press,"Pronated, Narrow, Barbell"
Press,Smith Machine Press,"Neutral, Smith Machine, Chains"
Squat,Back Squat,"Pronated, Split, Dumbbell"
Press,Dip,"Mixed, Shoulder Width, Bodyweight"
Hinge,Hip Thrust,"Supinated, Machine, Bands"
Squat,Back Squat,"Pronated, Smith Machine, Deficit"
Squat,Zercher Squat,"Supinated, Machine, Single Arm"
Hinge,Hip Thrust,"Neutral, Shoulder Width, Bodyweight"
Press,Smith Machine Press,"Supinated, Barbell, Feet Elevated"
Pull,Pull-Up,"Neutral, Shoulder Width, Dumbbell"
Isolation,Lateral Raise,"Supinated, Barbell, Chains"
Squat,Belt Squat,"Supinated, Narrow, Cable"
Pull,Cable Row,"Mixed, Wide, Cable"
Press,Machine Chest Press,"Pronated, Narrow, Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Wide, Machine"
Squat,Front Squat,"Neutral, Cable, Bands"
Pull,Pull-Up,"False, Wide, Cable"
Pull,Barbell Row,"Mixed, Wide, Dumbbell"
Hinge,Hip Thrust,"Supinated, Bodyweight, Feet Elevated"
Press,Smith Machine Press,"False, Narrow, Barbell"
Isolation,Bicep Curl,"Supinated, Bodyweight, Elevated Heels"
Squat,Safety Bar Squat,"Pronated, Shoulder Width, Barbell"
Press,Overhead Press,"Supinated, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Pronated, Cable, Feet Elevated"
Pull,Lat Pulldown,"Mixed, Staggered, Cable"
Squat,Front Squat,"Supinated, Dumbbell, Elevated Heels"
Isolation,Leg Curl,"Pronated, Wide, Dumbbell"
Squat,Safety Bar Squat,"Neutral, Barbell, Elevated Heels"
Squat,Zercher Squat,"Mixed, Wide, Barbell"
Pull,Cable Row,"Pronated, Cable, Deficit"
Hinge,Hip Thrust,"Pronated, Staggered, Cable"
Press,Dumbbell Bench Press,"Supinated, Narrow, Machine"
Press,Barbell Bench Press,"Pronated, Bodyweight, Chains"
Isolation,Leg Extension,"Pronated, Barbell, Deficit"
Press,Machine Chest Press,"Supinated, Wide, Bodyweight"
Isolation,Leg Extension,"False, Narrow, Cable"
Pull,Barbell Row,"Mixed, Shoulder Width, Machine"
Hinge,Romanian Deadlift,"Supinated, Split, Cable"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Elevated Heels"
Isolation,Lateral Raise,"Pronated, Machine, Feet Elevated"
Press,Decline Bench Press,"Supinated, Dumbbell, Deficit"
Squat,Safety Bar Squat,"Supinated, Barbell, Single Arm"
Squat,Belt Squat,"Neutral, Split, Barbell"
Pull,Cable Row,"Supinated, Smith Machine, Elevated Heels"
Press,Barbell Bench Press,"Neutral, Smith Machine, Deficit"
Hinge,Back Extension,"Neutral, Narrow, Bodyweight"
Isolation,Leg Extension,"Neutral, Machine, Feet Elevated"
Press,Incline Bench Press,"Mixed, Wide, Machine"
Pull,Barbell Row,"False, Split, Dumbbell"
Isolation,Lateral Raise,"False, Wide, Machine"
Press,Dip,"False, Staggered, Bodyweight"
Hinge,Back Extension,"Pronated, Narrow, Cable"
Isolation,Bicep Curl,"Pronated, Cable, Elevated Heels"
Squat,Back Squat,"Pronated, Barbell, Bands"
Pull,Barbell Row,"Supinated, Dumbbell, Chains"
Squat,Goblet Squat,"Pronated, Dumbbell, Chains"
Squat,Goblet Squat,"Pronated, Machine, Single Arm"
Press,Overhead Press,"Supinated, Cable, Single Arm"
Press,Barbell Bench Press,"Neutral, Machine, Chains"
Press,Smith Machine Press,"Mixed, Split, Dumbbell"
Squat,Front Squat,"Neutral, Smith Machine, Single Arm"
Isolation,Leg Extension,"Neutral, Staggered, Smith Machine"
Pull,Cable Row,"Neutral, Barbell, Bands"
Press,Dip,"Neutral, Staggered, Bodyweight"
Pull,Lat Pulldown,"Pronated, Bodyweight, Elevated Heels"
Pull,Barbell Row,"Neutral, Machine, Single Arm"
Squat,Back Squat,"Supinated, Narrow, Smith Machine"
Isolation,Bicep Curl,"Mixed, Split, Machine"
Squat,Zercher Squat,"Pronated, Cable, Elevated Heels"
Press,Barbell Bench Press,"Supinated, Bodyweight, Bands"
Squat,Safety Bar Squat,"Neutral, Machine, Bands"
Hinge,Good Morning,"Mixed, Staggered, Cable"
Squat,Hack Squat,"Pronated, Dumbbell, Chains"
Hinge,Deadlift,"Supinated, Split, Barbell"
Pull,Barbell Row,"False, Split, Cable"
Squat,Hack Squat,"Pronated, Machine, Single Arm"
Press,Incline Bench Press,"Neutral, Bodyweight, Elevated Heels"
Press,Dumbbell Bench Press,"Supinated, Split, Smith Machine"
Pull,Chest Supported Row,"False, Narrow, Machine"
Isolation,Leg Curl,"Neutral, Split, Smith Machine"
Squat,Front Squat,"Neutral, Shoulder Width, Smith Machine"
Pull,Pull-Up,"Neutral, Cable, Single Arm"
Hinge,Deadlift,"Supinated, Barbell, Bands"
Hinge,Romanian Deadlift,"False, Staggered, Machine"
Press,Barbell Bench Press,"False, Split, Barbell"
Hinge,Back Extension,"Neutral, Smith Machine, Bands"
Press,Machine Chest Press,"Neutral, Cable, Deficit"
Press,Decline Bench Press,"Pronated, Staggered, Barbell"
Pull,Chest Supported Row,"Neutral, Bodyweight, Bands"
Squat,Hack Squat,"Pronated, Shoulder Width, Dumbbell"
Hinge,Back Extension,"Pronated, Staggered, Dumbbell"
Hinge,Back Extension,"Supinated, Wide, Barbell"
Squat,Back Squat,"Supinated, Wide, Dumbbell"
Press,Incline Bench Press,"False, Split, Bodyweight"
Pull,Barbell Row,"Pronated, Bodyweight, Single Arm"
Isolation,Rear Delt Fly,"Neutral, Wide, Barbell"
Isolation,Tricep Pushdown,"Supinated, Smith Machine, Chains"
Isolation,Lateral Raise,"Pronated, Staggered, Smith Machine"
Isolation,Rear Delt Fly,"Neutral, Barbell, Deficit"
Isolation,Bicep Curl,"Pronated, Shoulder Width, Machine"
Pull,Cable Row,"False, Wide, Smith Machine"
Isolation,Bicep Curl,"Supinated, Dumbbell, Single Arm"
Squat,Goblet Squat,"Supinated, Shoulder Width, Bodyweight"
Squat,Front Squat,"Supinated, Staggered, Barbell"
Squat,Back Squat,"False, Shoulder Width, Cable"
Pull,Cable Row,"False, Shoulder Width, Machine"
Hinge,Good Morning,"Pronated, Bodyweight, Elevated Heels"
Squat,Safety Bar Squat,"Pronated, Barbell, Elevated Heels"
Squat,Back Squat,"Supinated, Wide, Smith Machine"
Squat,Goblet Squat,"Neutral, Smith Machine, Elevated Heels"
Squat,Safety Bar Squat,"False, Shoulder Width, Dumbbell"
Press,Overhead Press,"Neutral, Dumbbell, Chains"
Isolation,Calf Raise,"Supinated, Wide, Cable"
Isolation,Leg Extension,"Neutral, Staggered, Machine"
Squat,Zercher Squat,"Pronated, Shoulder Width, Machine"
Squat,Goblet Squat,Standard
Pull,Barbell Row,"Mixed, Split, Cable"
Isolation,Tricep Pushdown,"Neutral, Staggered, Dumbbell"
Pull,Chin-Up,"Mixed, Shoulder Width, Machine"
Hinge,Romanian Deadlift,"Neutral, Machine, Deficit"
Isolation,Rear Delt Fly,"Neutral, Cable, Feet Elevated"
Squat,Hack Squat,"Neutral, Smith Machine, Elevated Heels"
Isolation,Calf Raise,"Supinated, Staggered, Dumbbell"
Squat,Back Squat,"Mixed, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Neutral, Bodyweight, Single Arm"
Squat,Safety Bar Squat,"Supinated, Shoulder Width, Smith Machine"
Isolation,Rear Delt Fly,"Supinated, Staggered, Machine"
Press,Incline Bench Press,"False, Narrow, Dumbbell"
Squat,Hack Squat,Standard
Press,Dip,"Supinated, Dumbbell, Deficit"
Hinge,Hip Thrust,"False, Wide, Dumbbell"
Press,Smith Machine Press,"Mixed, Narrow, Machine"
Isolation,Tricep Pushdown,"Mixed, Narrow, Smith Machine"
Pull,Chin-Up,"Supinated, Dumbbell, Chains"
Pull,Barbell Row,"Pronated, Wide, Bodyweight"
Isolation,Calf Raise,"Neutral, Shoulder Width, Cable"
Squat,Back Squat,"Supinated, Cable, Single Arm"
Isolation,Calf Raise,"Mixed, Narrow, Bodyweight"
Press,Smith Machine Press,"Neutral, Staggered, Barbell"
Squat,Zercher Squat,"Pronated, Smith Machine, Bands"
Press,Dumbbell Bench Press,"Pronated, Cable, Chains"
Isolation,Calf Raise,"Neutral, Narrow, Smith Machine"
Pull,Pull-Up,"Supinated, Machine, Bands"
Hinge,Back Extension,"Supinated, Machine, Deficit"
Press,Decline Bench Press,"Mixed, Wide, Machine"
Hinge,Stiff-Leg Deadlift,"False, Staggered, Machine"
Isolation,Lateral Raise,"Neutral, Wide, Barbell"
Press,Decline Bench Press,"Pronated, Cable, Bands"
Isolation,Bicep Curl,"Pronated, Narrow, Bodyweight"
Isolation,Leg Extension,"Neutral, Shoulder Width, Dumbbell"
Isolation,Rear Delt Fly,"Neutral, Dumbbell, Elevated Heels"
Squat,Goblet Squat,"Mixed, Split, Barbell"
Hinge,Hip Thrust,"Neutral, Shoulder Width, Barbell"
Pull,T-Bar Row,"False, Narrow, Machine"
Isolation,Rear Delt Fly,"False, Wide, Bodyweight"
Isolation,Calf Raise,"False, Staggered, Cable"
Press,Barbell Bench Press,"Supinated, Smith Machine, Feet Elevated"
Isolation,Lateral Raise,"Neutral, Barbell, Deficit"
Pull,Pull-Up,"Supinated, Bodyweight, Feet Elevated"
Isolation,Leg Extension,"False, Wide, Cable"
Isolation,Leg Curl,"Pronated, Staggered, Machine"
Isolation,Calf Raise,"Neutral, Narrow, Barbell"
Press,Dumbbell Bench Press,"Supinated, Staggered, Cable"
Pull,Barbell Row,"Neutral, Wide, Smith Machine"
Squat,Safety Bar Squat,"Mixed, Wide, Cable"
Press,Smith Machine Press,"Pronated, Barbell, Single Arm"
Pull,T-Bar Row,"Neutral, Bodyweight, Bands"
Hinge,Romanian Deadlift,"False, Narrow, Smith Machine"
Squat,Zercher Squat,"Pronated, Narrow, Bodyweight"
Pull,Barbell Row,"Pronated, Shoulder Width, Smith Machine"
Hinge,Hip Thrust,"False, Shoulder Width, Bodyweight"
Squat,Hack Squat,"Mixed, Split, Barbell"
Press,Overhead Press,"Mixed, Shoulder Width, Smith Machine"
Press,Dip,"Pronated, Staggered, Barbell"
Pull,Pull-Up,"Pronated, Staggered, Cable"
Isolation,Tricep Pushdown,"Pronated, Narrow, Barbell"
Pull,Chin-Up,"Pronated, Bodyweight, Single Arm"
Press,Barbell Bench Press,"Neutral, Machine, Elevated Heels"
Hinge,Hip Thrust,"False, Shoulder Width, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Neutral, Dumbbell, Bands"
Squat,Front Squat,"Neutral, Narrow, Dumbbell"
Hinge,Back Extension,"Pronated, Machine, Chains"
Hinge,Deadlift,"Pronated, Dumbbell, Single Arm"
Isolation,Calf Raise,"Pronated, Cable, Feet Elevated"
Squat,Goblet Squat,"Pronated, Staggered, Bodyweight"
Press,Decline Bench Press,"Supinated, Dumbbell, Elevated Heels"
Press,Overhead Press,"Mixed, Wide, Barbell"
Isolation,Lateral Raise,"Neutral, Cable, Feet Elevated"
Press,Dumbbell Bench Press,"Supinated, Barbell, Chains"
Isolation,Leg Curl,"Neutral, Narrow, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Neutral, Machine, Deficit"
Pull,Chin-Up,"Pronated, Narrow, Barbell"
Isolation,Leg Curl,"Pronated, Narrow, Cable"
Squat,Safety Bar Squat,"Supinated, Smith Machine, Elevated Heels"
Squat,Hack Squat,"Pronated, Staggered, Bodyweight"
Hinge,Deadlift,"Neutral, Split, Cable"
Pull,Chin-Up,"Mixed, Split, Cable"
Hinge,Hip Thrust,"Pronated, Smith Machine, Chains"
